Product_name,Review,Rating,Cleaned_Review
"Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) 15ACH6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25$$kg kg)",Best under 60k Great performanceI got it for around 58500Battery backup is bit low but thanks to rapid charger its very fast Display is Ok for this price range Decent speakers with many customisation optionsVantage software is so good for customisationOverall good performance till nowWill update later if any problem occurs,5,best 60k great performancei got around 58500battery backup bit low thanks rapid charger fast display ok price range decent speaker many customisation optionsvantage software good customisationoverall good performance till nowwill update later problem occurs
"Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) 15ACH6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25$$kg kg)",Good perfomence...,5,good perfomence
"Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) 15ACH6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25$$kg kg)","Great performance but usually it has also that gaming laptop's issue of battery. It can only stand for 2 - 3 hrs without adapter. So, I prefer that use it with adaptor if you are using any software or playing games.",5,great performance usually also gaming laptop issue battery stand 2 3 hr without adapter prefer use adaptor using software playing game
"DELL Inspiron Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",My wife is so happy and best product 👌🏻😘,5,wife happy best product
"DELL Inspiron Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)","Light weight laptop with new amazing features, battery life is awesome.",5,light weight laptop new amazing feature battery life awesome
"DELL Inspiron Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)","Amazing laptop, am so much happy, thanks for Flipkart.",5,amazing laptop much happy thanks flipkart
"DELL Inspiron Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Over all a good laptop for personal use,5,good laptop personal use
"DELL Inspiron Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Thank you so much Flipkart,4,thank much flipkart
"DELL Inspiron Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Amazing product,5,amazing product
"DELL Inspiron Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)","Good for normal work , students, online classes, watching movies etc.Not for havy tasks, gaming, buisness work, office work.editing etc.Overall good laptop in this range in budget laptops.",3,good normal work student online class watching movie etcnot havy task gaming buisness work office workediting etcoverall good laptop range budget laptop
"DELL Inspiron Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Laptop received was in good packaging and good condition. Performance wise little bit slow compared to i3 processor of Intel. For general usage this laptop performs good.,5,laptop received good packaging good condition performance wise little bit slow compared i3 processor intel general usage laptop performs good
"DELL Inspiron Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Very nice,5,nice
"DELL Inspiron Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Good product but dilevary slow,4,good product dilevary slow
"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","If you can affort few thousands extra you can prefer other laptops with same config.I came to know about done limitations of this laptop-poor webcam not even suitable for day to day online classes-Sound very low, need to connect external speakers-Keypad not visible due to same colour of laptop body and keys. Backlight not available.-Low battery backupTo save cost Asus has done these compromises.Performance wise doesn't see any issue, but since I'm using HP laptop also these small th...",2,affort thousand extra prefer laptop configi came know done limitation laptoppoor webcam even suitable day day online classessound low need connect external speakerskeypad visible due colour laptop body key backlight availablelow battery backupto save cost asus done compromisesperformance wise doesnt see issue since im using hp laptop also small th
"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Good,5,good
"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",All good but battery backup not good enough,3,good battery backup good enough
"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","I'll update this review again after a month usage...As of now, it's a good laptop, but battery is not upto the mark...",5,ill update review month usageas good laptop battery upto mark
"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",I love it ....❣️,5,love
"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Good,4,good
"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Best Laptop 💻 👌 in the segment. Classy performance 👏 because of ssd memory.Battery 🔋 is good enough.Design is so sleeky.Recommend you to buy.,4,best laptop segment classy performance ssd memorybattery good enoughdesign sleekyrecommend buy
"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Awesome quality and very likely,5,awesome quality likely
"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Incredible laptop Performance very good 👍,5,incredible laptop performance good
"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",good looking and performance also good,4,good looking performance also good
"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",I love it 💗💗 not because of prize but it's really fast working..and good product...must try it once.,5,love prize really fast workingand good productmust try
"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","First of all thanks to Flipkart for a faster delivery, it was under 2days. You guys are awesome. The laptop is so much slik looking and classy. It is so much premium looking. The display is great and the performance is even faster. I am a student, doing my bachelor's, so for student work it is more faster than required. I just loved the laptop. But for gaming I don't know, because I can't play games that much. Boot time is less than 6 second.",5,first thanks flipkart faster delivery 2days guy awesome laptop much slik looking classy much premium looking display great performance even faster student bachelor student work faster required loved laptop gaming dont know cant play game much boot time less 6 second
"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","Good Laptop under 40k got it at 39k. Good for students,professionals not built for heavy task but normal excel power point run smoothly. Sound quality is average but audible. Overall good laptop.",4,good laptop 40k got 39k good studentsprofessionals built heavy task normal excel power point run smoothly sound quality average audible overall good laptop
"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Awesome specifications and reasonable price.. Slim and well designed.. Built quality is awesome,5,awesome specification reasonable price slim well designed built quality awesome
"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","Delivery was done after 8 days after purchasing quite long time taken.but overall product is great,compitable,slim & handy.. performance is outstanding in this range.everything works fine",5,delivery done 8 day purchasing quite long time takenbut overall product greatcompitableslim handy performance outstanding rangeeverything work fine
"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Nice product in this price range .. Go for it,5,nice product price range go
"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Performance of this laptop is very niceDisplay quality is awesome,5,performance laptop nicedisplay quality awesome
"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Very nice laptop.,5,nice laptop
"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Every thing is just fine but the tn display is so annoying as always,5,every thing fine tn display annoying always
"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Nice product in this price point I recommend you....you can go for it,5,nice product price point recommend youyou go
